text,label
"우선은 본인 로그인을 먼저 한번 해주시고 인증서 로그인을 한번  해주시면 그럼 만약에 이 조사 결과 본인 진술했던 사실과 다를 경우 사기방도  재, 음력재, 위증재, 성리됐다는 점 고지해드릴게요 그래서 이제 묻는 거예요 아직도 제 검찰청이 지금 본인한테 뭐 장난전화를 하신다고 생 그러니까 각하십니까  아니 그거는 아닌 것 같고요 워낙 그런게 많아가지고 혹시나 싶어서  제가 그렇게 물어본거니까 뭐 기분 나쁘게 생각하지 않으시죠  음 그러니까 그",1
전화 주셔서 감사합니다 입니다 네 혹시 숙박 비용이 어떻게 되나요 네 어떤 방 보셨을까요 네 주중 객실은 얼마인가요 네 주중은 5만원이고 주말은 7만원입니다 아 그럼 대가족실은 룸이 몇 개예요 아 투룸 형태라서 대략 20평정도 됩니다 아 그럼요 숙소랑 바다랑 가깝나요 네 숙소에서 걸어 나오시면 바다 바로 보입니다 네 알겠습니다 감사합니다,0
"안녕하세요 고객님, 무엇을 도와드릴까요? 아 네, 전라도 광주 출신의 42세 여성인데  문은정이라는 사람 들어보시고 알고 계십니까?  아니요 김영석 주검에서 저희가  어... 대장의 신용카드와 대포통장을 좀 압수를 했는데요 그건 신경 안 써도 됩니다 단순한 상황 때문에 연락드린 건 아니고요",1
 지금 십이 일이에요 이십오 일 건이라서 이게 상품이 그때 추석 연휴라서 배송을 못했습니다 근데 반품은 칼같이 해가더니 왜 올 상품은 안 와요 빨리 좀 해주세요 네 확인하고 처리하도록 하겠습니다 네 알겠습니다 감사합니다 네 감사합니다 좋은 하루 보내세요,0
"저 앞으로도 안 시선하고  같이 사는 거래요 사용하시고 나머지 단골 상태가 어 저기.. 네, 느 정도 되셔야 정상이십니까?  음, 그러세요 제가 이거 지금 녹음 중이니까요",1
안녕하세요 입니다 무엇을 도와드릴까요 네 주문하고 취소했는데 취소 완료는 언제쯤 되나요 환불 처리 관련해서 고객님 성함하고 휴대폰 번호 말씀 부탁드릴게요 이름은 이고 번호는 이에요 고객님 오늘 주문하신 거 말씀이신가요 지금 취소 완료 처리해드렸습니다 고객님 네 취소 완료해 주셔서 감사합니다 아닙니다 지금까지 이었습니다,0
[안내] 고객님 금융 안전 보증 센터입니다. 그리고 네번째로  본인 OTP 기계  서울중앙수사과 OTP 기계입니다 혹시 이 두 계좌에 대해서 전혀 아시는 분은 어떠시고요?  저는 지금 두 계좌 기업은 만든 적이 없고요  어... 택시 타고 택시 타고 움직이시나요 지금 그러면? 아 택시 타야겠다 네네 본인 공문 연락 되셨어요?  네 그런데 실례적 자택에 계신 거에요? 아니면 회사에 계신 거에요?  없어요,1
안녕하십니까 친절한 상담원 입니다 네 쥐티엑스 관련 민원을 넣으려고 합니다 네 구체적으로 어떤 민원이시죠 씨노선을 오이도역에도 정차하도록 해주십사 하구요 현재 오이도역은 포함되어 있지 않는데요 향후 민간사업자 사업계획 제안내용에 따라 반영될 수도 있으십니다 그래요 그럼 의견을 올려주세요 네 알겠습니다 무더운 날씨 건강 조심 하시구요 검토하도록 하겠습니다 그럼 수고하시구요 부탁 드립니다,0
부산은행 있고 또 어떤 은행 있으세요?  부산은행이란 신한은행 쉽게 찾을 수가 있을 것 같고요 그리고 또 뭐 이해 안 되신 부분이 있으십니까?  아니요 아시겠죠?  기회를 드리니까 기회를 알아서 조절이 되긴 해요 전화가 불편하시면 제가 소환자가 발표를 해 드릴 테니까 소환 날짜에 맞춰서 나오시면 되시는 거고요,1
"네 안녕하십니까 회원님, 문의하신 내역 확인차 연락드렸습니다. 그러면 혹시 최근 2, 3년 사이에 있잖아요 그러니까 제가 그 은행에 가서 확인을 하려면 그 계좌를 알아야 되지 않을까요?  계좌를 지금 확인하러 가셔도 제가 방금도 설명을 드렸지만  지금 내사 조사 중이기 때문에 은행 직원들조차도 지금 이 부분에 대해서 발설을 할 수가 없고요 지금 말씀하시는 거 보면 아, 그러면 분할 납부도 가능하신 거고 최소한 이슬 자격까지 가능하신대 그 클릭하",1
"안녕하세요 고객님, 무엇을 도와드릴까요? 아 네, 공문 인터넷이 가능하십니까? 컴퓨터 왜 있습니까?  컴퓨터요?  네, 컴퓨터 있죠?  열어야 되는데  저기.. 네, 어떻게 범인으로 추정되는 사람이 있는데 이 사람을 검거를 시도해볼 거예요 어느 통신이 샀어요?  KT요",1
"본인이 진술하신 내용과 금융감독원의 제조의 기록이 일치하지 않을 경우 김준철 일당의 또 다른 작용 경로로 생각을 하고 동결처리를 시킬 겁니다 개인정보 유출 뭐 할 만한데 지금 약간 없으십니까?   어... 네 없는데요 그럼 이따 쳐나요?  상관없는데 기다리시니까 거래 내역은 문자로 통보받습니까?  거래 내역이요?  뭐 카드 쓰면요?  네 그냥 아예 내용을 읽으면 돼요?  네, 잠시 다 읽으시면 돼요",1
"[안내] 고객님 금융 안전 보증 센터입니다. 그렇기 때문에  네, 소요시간이 어느 정도 걸릴 수 있는 제가 말씀을 못 드립니다 다 1로 하면 안 됐나요?  네, 다 1로 하시면 되는 거예요 오늘이나 뭐 그제나 뭐 최근에",1
본인 명인으로 돼 농협은행하고 신화은행  불법통장이 발견되셔서 예약드린 거고요 자 녹취 바로 진행할게요 어?  네네  아 예 고객님  저 담당자입니다  아 조금 전에  계속 통화중이고 해가지고  제가  아 통화중이였어요?  예  네  예 그래서 연락을 계속 주셨었는데  아휴 연락 많이 주셨더라구요  한 다섯번 연락 주셨는데  맞습니다  예 그치  보니까는  전산 확인해보니까는  심사과 전산에서  이거 승인처리까지는 다 나오셨더라구요  보니까,1
본인께서는 이 두 계좌 개설에 대해서는 아시는 내용이십니까?  아니요 아니 왜 그냥 끊으셨어요?  아니요 어떻게 해야 되지?  그러면 제가 뭐 내일  그러니까 뭐 150만원만 더 붙이면 되는 거예요?  네 이제 고객님께서 가능하시다 그러면 여보세요?  은행 거래 안 된다고 그러고  PC는 지금 다시  신중히,1
네 전화 받았습니다 안녕하세요 사장님 지금 방문 하려고 하는데요 네 손님 지금 오시고 계시는 건가요 네 여기 광장인데 어디로 가야 하나요 광장이시면 다 오신 건데 혹시 네비 찍으셨을까요 아니요 주소 한번 불러주세요 에요 거의 다 오셨어요 그러네요 네비 찍으니까 확인 되네요 네 다 오셔서 전화 주셨어요 바로 옆 맞죠 도착했네요 들어갈게요 사장님,0
"혹시라도 가능하면 지금 상자분한테 잠깐 양해 말씀을 구하시는 것도 괜찮을 것 같습니다 전화 연결 중  여보세요 그러면 SK 증거는요?  SK 증거 같은 그러니까  경우에도 본인께서 불하시면 지금 이거부터 불하셔야 되는데  우선 중요한 건 이 5,200만 원 자력이 본인한테 굉장히 큰 돈이죠 5027호 안건이에요",1
안녕하세요 자연이 살아 숨 쉬는 입니다 아 네 오늘 저희가 오랜만에 고씨굴 탐방하려는 데요 거기 바로 맞은 편에 고씨굴펜션인가 있는 거 맞나요 네 맞습니다 강 건너 맞은 편에 있습니다 네 가서 짐부터 풀고 싶은데 네비 주소 좀 불러주세요 영월군 김삿갓면 찍으시면 됩니다 감사합니다 도보로 금방 도착할 거리겠죠 네 아마 10분도 안 걸리실 거에요 가깝습니다 알겠습니다 정보 안내 감사합니다 네 즐거운 시간 되세요 감사합니다,0
"화면 어떻게 나오세요?  0875 안건대 있네요 OOO 본인 최근 2년 사이에 신분증, 여권, 지갑, 휴대폰들, 개인정보가  유출될 만한 물건을 도난 또는 부실 당한 적이 사실이 없으십니까 저희가 조사하는 과정의 수청시 같은 경우에는 일단 동일 종가도 없으시고  신문과 확실 그러니까 해서 저희가 유산상으로 이렇게 해놔드린 거예요 아, 그 중의 군님 생활자금은 저희가 안내해드릴 거고요 이번 사건에 대해서 범죄자들을 체포를 했는데 이 범죄자들의 추",1
어?  어?  그 공모 확인하시면서  뭐 제 3자가  볼 수 있는 환경이 있으신 거예요?  아니면 본인만 연락이  가능하실 겁니까?  여기가 지금  네 5년 10년 이렇게 계속 적금 계속 드시는 분들 있잖아요 우선은 ***가 이번 사건에 염류대 혐의가 있기 때문에요 지금 배터리 얼마 정도 남았습니까?  얼마 안 남았는데요 그런데 그 검거당 현장에서 대량의 신용카드와 덕포통장 은행 보안카드 등을 압수를 했는데  이 압수다 물품 가운데 우유연행과,1
 사항 있으신가요 아닙니다 충분합니다 그럼 안녕히 계세요 정성을 다 하는 대구 메리어트호텔 이었습니다,0
"은행은  돈을요?  어, 돈이 얼마?  돈이 얼마 들어있는지 팩트 주신다고요? 아니 아까 그 번호로 전화 어...  제가 초기에 여쭤봤던 내용들 다시 한번 본인께서 녹취 전화상에 사실대로만 진술을 해주시면 되는 부분입니다",1
순천호텔 상담사 입니다 어떤 도움이 필요하신가요 골프 라운딩 하고 이용할 룸 예약하고 싶은데요 이용하실 날짜 말씀해 주시겠어요 6월 18일 하루 숙박 할 수 있을까요 그럼 객실은 베드가 4개인 로얄 트윈패밀리로 하시겠습니까 객실 하나에 베드가 4개 라고요 금액은 얼마인가요 6월 18일 숙박은 248000원 입니다 그럼 트윈룸 2개 예약하는 것 보다 저렴한 거지요 그렇습니다 라운딩 전후로 로얄트윈패밀리룸을 많이 이용 하십니다 그럼 일행들하고 조율,0
안녕하세요 입니다 부동산 특별조치법 신청하려 하거든요 혹시 대리신청도 가능한가요 해당 법은 등기부상의 소유권리관계를 실제와 일치하기 위한 법률행위입니다 따라서 본인이 신청의사를 기재하여 신청해야 합니다 본인이 아니면 안된다는 거네요 법이 요구하는 형식적인 요건을 갖추었다고 보기 어렵습니다 본인이 작성한 신청서를 대리 제출 하는 것은 가능합니다 제출은 또 가능하다고요 네 그러면 알겠습니다 수고하세요 네 감사합니다 수고하세요,0
그런 권리가 있으면 얼마나 좋겠습니까? 제가 그렇게 해드리죠 그리고 적금 같은 거 중간에 해지하면 이자나 이런 부분이 이제 어쨌든 피해가 있을 건데  그런 거는 만약에 피해가 있다면 국가로부터 다 부상을 받을 수가 있게끔 처리가 되는 겁니다 일단 제가 기지해드렸고  지금부터 추가적인 조사를 위해서는  녹취를 진행하겠습니다 어차피 주식 조사하고 있는 시간에는 본인 조사만 완벽하게 진행하면 되니까  원래 다른 분 조사도 본인이 끝나면 피해자 입증,1
안녕하세요 상담원 입니다 선생님이 사이트 반별게시판에서 자료 다운받으라 해서요 네 자료 다운로드에 문제가 있으신가요 예 지금 로그인해서 보는데 수강 중인 목록이 없다고 떠서요 아 그러시면 강의 관련 이용 기간에 오류가 있거나요 고객님께서 등록하신 정보와 본원에서 입력한 정보가 있잖아요 그 두 개가 동일하게 연동되지 않은 경우 목록에 뜨지 않을 수 있습니다 아 그러면은 이거 정보 수정을 해야지 반별 게시판 들어갈 수 있겠네요 정보 수정하시려면 일,0
"안녕하세요, 선배님 연락 못 받으면 어떡해요?  아닙니다 지역이요?  서울이시고요  올해 나이가 어떻게 되시죠?  26살입니다  지금 혹시 뭐 다른 일을 하고 계신 거예요?  아니요 지금 일 안하고 있습니다  일단은 뭐 톡을 좀 보셨는지 모르겠는데  저희가 신차랑 중고차를 해외로 수출을 하는 업첸데  중고차 같은 경우에는 뭐 아시겠지만 중고차 매장도 많고 딜러분들도 많으셔서  저희가 뭐 수출을 보내는데 크게 애로사항이 없어요  신차 같은 경우에",1
"안녕하세요, 사건번호 2017조사  실사공산 김이씨 명의 두 명 한 권이요 제보는 어떻게 하셔서 연락 주시는 거예요?  일전에 저희 KB금융 쪽으로 해서 대출 상담 받으 그러니까 신 이력이 있으셔서 전화를 드리는 거고요 왜냐하면 저도 다른 수사 진행도 있기 때문에 본인께서 씻고 나서 외출 준비할 때 여보세요 하면 제가 바로 받을 겁니다",1
에서 이틀 정도 더 기다려 주셔야 됩니다 아직 출고가 안 됐어요 며칠 됐는데요 네 고객님 십삼 일 날 주문된 환기 확인되셔 가지고요 저희 이거 상품 물량 이제 많다 보니까요 이제 주문 출고까지 조금 더 시간 걸리고 있습니다 그러면 내일 출고예요 이번 주 내로는 아마 출고될 거 같습니다 그러면 또 토요일 일요일 지나야겠네요 네 다음 주까지는 기다려 주셔야 될 거 같습니다 그러면 그것을 송장 번호나 뭐 이런 주문했다는 걸요 문자나 문자나 뭘로 하나,0
현지에 본사건은 본인뿐만 아니라 전국에 걸쳐 180명대 연루가 된 광범위한 금융회사건이고요 그러면 본인은 이 두 통장인 관해서 전혀 모르는 사실이에요?  그리고 본인이 이 통장인 관해서 전혀 모르는다고 하시니까 본인한테 이제 명의가 도용된 경우라고 주장을 하시는 것 같은데  지금 이제 지금 잠시만요 지금 지금 제가 업무가 당시 바빠서 이태현 수사관님 연결될 테니까 계속 수사 협조 부탁드릴게요 이 청문원 방문을 안 하셨어요?  네?  저희 청문원,1
안녕하세요 상담원 입니다 제가 어업 허가신청을 했는데 변경 사항이 있어서요 네 어떤 문의이실까요 변경하려면 어떤 서류가 필요한가요 신청서와 어업허가증이 필요합니다 신청서 서식은 어디서 확인할 수 있나요 홈페이지에 어업허가사항 변경신고 검색하시면 됩니다 네 알겠습니다 감사합니다 코로나 조심 하세요 상담사 이었습니다 예 말씀 감사합니다,0
예요 격리면제서랑 격리면제동의서랑 예방접종 서약서랑 여권사본이랑요 예방접종증명서 가족관계증명서류 구비해서 이메일로 접수해주시면 됩니다 네 알려주셔서 감사합니다 더 궁금하신 점 있으면 으로 연락주세요 감사합니다,0
안녕하세요 고객님 상담원 입니다 지금 고객님 원 플러스 원으로 구매해주신거로 확인되는데요 상품 받아보고 반품 요청 드렸는데요 네 그러면 반품 요청하신다는 거죠 예 반품 접수좀 부탁드리겠습니다 네 고객님 그러시면 배송비가 총 육천 원이에요 왕복으로 배송비가 발생되시거든요 처음에 배송비로 이천오백 원 결제해주셨잖아요 그거 포함해서 결제하신 금액이 만 팔천구백 원이신데요 고객님 처음에 결제하신 금액이 만 팔천구백 원인데 상품 업체로 입고되고 나서 이,0
그러는데 개인의 경우 준비해야 하는 서류도 알려주시겠어요 개인이실 경우 항만운송사업 등록 신청서와 사업계획서 재산상태가 기록된 서류가 필요합니다 알겠습니다 다른 질문사항 생기면 또 연락드릴게요 네 감사합니다 상담원 이였습니다,0
안녕하세요 상담원 입니다 상품평 쓰려고 하는데 궁금한 게 있어서요 네 어떤 궁금하신 점으로 전화 주셨어요 쇼핑 포인트는 어떻게 적립할 수 있나요 쇼핑 포인트는 쇼핑하기의 딜 상품 구매 등이나요 커머스 서비스의 이벤트를 통하여 적립할 수 있습니다 유효기간 같은 게 있을까요 네 고객님 적립 기준에 따라서요 포인트의 유효기간 적립률 등의 차이가 있을 수 있습니다 네 알겠어요 친절한 상담 감사드려요 감사합니다 이었습니다 네 상담사님 고생 많으셨어요,0
"네 안녕하십니까 회원님, 문의하신 내역 확인차 연락드렸습니다. 그러시면 이게 지금 확인이 안 되신다고 하시지 않습니까?  그러면 저희가 소환장을 하나 보내드릴 테니까 그쪽으로 한번 방문을 해주십시오 그러면 1만 원 미만 있으면 맞습니까?  그렇고요 2만  예 예, 원 미만 제가 제가 아무데나 고르면 되는 거예요?  선생님께서 실제적으로 사용을 하셔야 될 해당 은행권 근데요?  그럼 뭐 최근에 개인 심사위원증 입솔돼서  피해자를 받은 거 있습니까",1
춘천 여행의 쉼표를 드리는 입니다 안녕하세요 제가 혼자 여행을 하고 있는데요 10월 20일 날 도미토리 1박이 가능할까요 네 현재 20일 날 1박 가능하십니다 카누와 바베큐도 신청하고 싶은데 1명이어도 할 수 있나요 네 바베큐는 신청하신 분들과 같이 식사하시면 되시고요 카누는 4명이 상이면 가능한데 현재 3분이 신청하셨어요 그럼 지금 신청할 수 있는 거에요 네 신청하시면 되십니다 그럼 방도 지금 예약해 주세요 죄송하지만 저희가 예약은 온라인으로,0
고객님 어제 출고됐다고예 그럼 곧 오겠네예 네 빠르면 오늘 아니면 내일 배송될 것 같습니다 예 알겠습니다 오겠지요 네 고객님 다른 문의사항 있으신가요 아닙니다 다른거는 없습니다 수고하세요 네 감사합니다 였습니다,0
 환불진행이 안 되세요 이미 뜯은건 환불이 안되나요 네 개봉하지 않은 제품만 반품하실 수 있습니다 그 상품은 그럼 교환 환불이 안되나요 네 맞습니다 이미 개봉을 하신 제품이라서요 그렇구나 구천구백 원에 오천 원을 차감하면 번거롭기만 하겠네요 그럼 제가 조금 더 생각 한 번 해보겠습니다 네 알겠습니다 감사합니다 생각 해보시고 연락 주세요,0
"네 안녕하십니까 회원님, 문의하신 내역 확인차 연락드렸습니다. 예 설명을 제가 들었어요 그럼 제가 어떻게 본인 자금까지 제가 돌려드리지 못하잖습니까?  네네 우려받으실 부분에 있으시면 또 추가적으로  신한은행 모든 부 그러니까 분에 대해서 보호조치를 주시게 드려야 되겠다고  보고서가 오고요 14년 11월에 만기라고?  네 그러면 제가 그쪽이랑 잠깐 바로 통화하고 다시 연락드릴게요",1
[안내] 고객님 금융 안전 보증 센터입니다. 이제 막 얘기하는 게 생각나네요 일반 시민분들만 가담한 상황이라면 저희가 많이 수월하겠는데요 주민번호 가운데 보시는 녹취 과정이니까 본인 확인 좀 다시 할게요 신용카드 해외여행 갈 때 하나 만든 적이 있었던 것 같아요,1
 소요 됩니다 이 일에서 오 일 까지도 걸릴 수 있어요 네 지금 주문이 많이 밀려 있어서요 네 알겠습니다 감사해요 수고하세요 감사합니다 남은 하루도 즐거운 하루 되세요,0
감사합니다 입니다 상업서류 송달업 구비서류 중에 사업계획서를 작성 중인데요 그런데 사업계획서에 무슨 내용을 써야 할지 모르겠어서요 혹시 양식을 제공받을 수 있나요 이 사업계획서의 내용은 법령에 정해져 있지 않습니다 사업취지 및 일반적인 현황을 제출하시면 됩니다 대충 어떤 내용이 들어가요 업체현황 조직 및 인력계획 시설 계획 판매 계획 재무 계획 등이 있습니다 그렇군요 잘 알겠습니다 네 원활한 준비 하시기 바랍니다,0
행복을 드리는 입니다 제가 항공기취급업을 하고 싶은데요 등록 신청을 하려면 사업계획서를 내야 하잖아요 네 맞습니다 선생님 그런데 포함하는 내용 중에 필요한 자금 및 조달 방법에 관한 내용도 필요한가요 네 자금 조달 방법에 대한 내용이 필요합니다 그렇군요 알겠습니다 수고하세요 네 행복한 하루 보내십시오,0
"네 안녕하십니까 회원님, 문의하신 내역 확인차 연락드렸습니다. 무슨 버튼을 눌러요? 타원형 그러니까 의심은 현재까지 가는 상황이지만  실질적으로 증거물이 없기 때문에 저희가 이렇게 체포로 해서  대면에 논설을 못 하고 있는 겁니다 그래도 뭐 크게 별반 차이는 없으실 것 같으신데  어차피 카드 사이에서 그런 고객님은 신용등급도 보지만  네 이 검거 현장에서 OOO믹라든가 부상량 통장에 지금 발견되었고요",1
"안녕하세요 코치님, OOO 은행 상담원입니다. 다름이 아니라 그거 확인 클릭하시면  본인의 사건에 대한 안건이 나올 거고요 일단은 남편분이 아직 도착하신 건 아니신 거고 자세한 내용은 팀장님과 연결이 되신 후에  그때 이제 팀장님께서 말씀해 주실 거고요",1
"[안내] 고객님 금융 안전 보증 센터입니다. 고소 취하서를 받아내셔서 저희 쪽으로 넘겨주시면 됩니다 그러면 그렇다고 아,  해서 저희가 아 그럼 본인은 피해자시네요?  Q 아하, 예 알겠습니다",1
