text,label
엄마 나 폰 액정 깨져서 수리 맡겼어. 지금 임시폰이라 이 번호로 톡해줘.,1
아빠 나야 폰 고장 나서 친구 폰으로 문자해. 내 사진 여기 있나 봐줘. http://my-cloud.io/me,1
엄마 나 폰 고장 나서 피씨카톡으로 연락 중이야. 확인하면 답장 좀!,1
엄마 나 지금 수리점인데 수리 기사가 이거 깔아야 인증된대. http://remote-as.site/app,1
아빠 나야 폰 액정 나가서 확인이 안 되네. 여기로 인증번호 좀 보내줘. http://v-phone.site/verify,1
엄마 나야 폰 고장 나서 지금 연락 안 되니까 이 번호로 문자해.,1
아빠 나야 폰 잃어버려서 임대폰 받았어. 연락 안 되면 이쪽으로 문자해.,1
엄마 나 지금 수리점인데 수리비 결제해야 하는데 카드 인증이 안 돼. 대신 좀 해줘. http://as-care.link/auth,1
엄마 나야 폰 액정 수리하러 왔어. 한 시간 뒤에 연락할게!,1
아빠 나야 폰 고장 나서 회사 전화로 문자해. 이 링크로 주소 좀 보내줘. http://map-check.link/home,1
엄마 나 폰 액정 깨져서 사진이 안 찍혀. 이거 봐봐. http://img-view.net/error,1
엄마 나야 폰 고장 나서 인증번호가 안 오네. 엄마 폰으로 받아주면 안 돼?,1
아빠 나 지금 폰 수리 맡기고 친구랑 있어. 이따 연락할게!,1
엄마 나 폰 수리비 20만원 나왔어. 지금 바로 보내줄 수 있어?,1
아빠 나야 폰 고장 나서 지금 피씨로 문자 보내. 확인해줘.,1
엄마 나 폰 수리 맡겼는데 이 링크로 들어가서 승인 좀 해줘. http://confirm-as.net/392,1
아빠 나 폰 고장 나서 연락 안 되니까 걱정 마! 수리 끝나고 연락할게.,1
엄마 나야 폰 액정 깨져서 사진이 안 찍혀. 이거 봐봐. http://img-view.net/error,1
아빠 나 폰 고장 나서 지금 이 번호로 톡 중이야.,1
엄마 나 폰 수리비 지금 바로 결제해야 한대. 급해!,1
엄마 나 핸드폰 액정 깨져서 수리 맡겼는데 인증이 안 돼 ㅠㅠ,1
아빠 나야 폰 고장 나서 지금 친구 폰이야. 저장 좀 해줘.,1
엄마 나 지금 폰 수리비 결제해야 하는데 비번이 생각 안 나. 대신 결제해줘. http://pay-secure.com/auth,1
엄마 나 폰 수리 중이라 연락 안 돼. 급한 거 있으면 여기로 톡해.,1
아빠 나 폰 물에 빠져서 안 켜져. 이 번호 저장해 놔.,1
엄마 나야 폰 액정 박살 나서 아무것도 안 보여 ㅠㅠ 이 번호로 톡 줘.,1
아빠 나야 폰 고장 나서 친구 폰으로 연락 중. 이 사진 너 맞아? http://gall-share.net/pic,1
엄마 나야 폰 액정 수리하러 왔는데 연락처 다 날아갔어.,1
아빠 나 폰 잃어버렸어... 이 번호로 연락해줘.,1
엄마 나 폰 수리 맡겼는데 수리비가 좀 모자라네. 10만원만!,1
엄마 나야 폰 고장 나서 임시로 이 번호 쓰는 중이야.,1
아빠 나 폰 수리 맡겼는데 이거 눌러서 확인 좀 해줘. http://repair.service/check,1
엄마 나 폰 액정 수리 중이라 이 번호로만 연락 가능해.,1
아빠 나 폰 고장 나서 지금 연락처가 하나도 없어 ㅠㅠ,1
엄마 나 폰 수리비 결제하게 계좌 좀 알려줘!,1
아빠 나야 폰 액정 나가서 톡이 안 돼. 문자로 해.,1
엄마 나 폰 수리 맡기고 피씨방이야. 이따 집 가서 연락할게.,1
아빠 나 지금 수리비 결제창인데 인증이 안 되네. http://verify.auth/pay,1
엄마 나야 폰 고장 나서 아빠 폰으로 문자해.,1
아빠 나 폰 수리비 15만원만 입금 부탁해!,1
엄마 나 친구한테 돈 보내야 하는데 보안카드가 안 보여. 50만원만 먼저 보내줘.,1
아빠 나 지금 편의점에서 결제해야 하는데 카드가 안 돼. 바코드 좀 찍어줘. http://pay-barcode.link/scan,1
저기.. 나 지금 너무 급해서 그런데 10만원만 빌려줄 수 있어? 내일 갚을게!,1
"형, 나 사고 났는데 지금 합의금 급하게 필요해. 일단 여기로 좀 보내줘.",1
엄마 나 지금 공구 참여 중인데 돈이 모자라. 5만원만 더 보내줄 수 있어?,1
아빠 나 지금 친구 결혼식 왔는데 축의금이 부족해. 바로 좀 보내줘.,1
엄마 나 아까 빌린 돈 오늘까지 갚아야 한대. 30만원만 이체 부탁해.,1
형 나야 지금 카드 한도 초과라는데 이것 좀 대신 결제해줘. http://pay-share.net/buy,1
엄마 나 지금 편의점인데 기프트카드 좀 사줄 수 있어? 사진 찍어 보내줘.,1
아빠 나 지금 학원비 결제해야 하는데 카드를 안 가져왔어. 대신 해줘.,1
누나 나야 지금 너무 급해서 그런데 돈 좀 빌려줘. 이따 퇴근하고 갚을게.,1
